objectid_1,objectid,crn,district,county,municipality,crash_year,crash_month,day_of_week,time_of_day,hour_of_day,illumination,weather,road_condition,collision_type,relation_to_road,work_zone_type,work_zone_loc,work_zone_ind,intersect_type,tcd_type,location_type,urban_rural,fatal_count,injury_count,person_count,total_units,sch_bus_ind,sch_zone_ind,latitude,longitude,arrival_tm,cons_zone_spd_lim,dispatch_tm,est_hrs_closed,lane_closed,ln_close_dir,ntfy_hiwy_maint,spec_juris_cd,tcd_func_cd,tfc_detour_ind,workers_pres,wz_close_detour,wz_flagger,wz_law_offcr_ind,wz_ln_closure,wz_moving,wz_other,wz_shlder_mdn,vehicle_count,automobile_count,motorcycle_count,bus_count,small_truck_count,heavy_truck_count,suv_count,van_count,bicycle_count,maj_inj_count,mod_inj_count,min_inj_count,tot_inj_count,unk_inj_deg_count,unk_inj_per_count,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,unbelted_occ_count,unb_death_count,unb_maj_inj_count,belted_death_count,belted_maj_inj_count,mcycle_death_count,mcycle_maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_count,ped_death_count,ped_maj_inj_count,max_severity_level,comm_veh_count,dec_lat,dec_long,rdwy_surf_type_cd,county_name
42046,485828,2014122023,6,67,67301,2014,11,6,236,2,3,1,1,7,4, , ,N,2,3,0,3,0,0,1,1,N,N,39 58:02.402,75 14:01.100,236, ,236, ,0, ,N, ,3, , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9673,-75.2336, , 
42047,485833,2014128362,6,67,67301,2014,12,4,1500,15,1,2,1,6,1, , ,N,0,0,0,3,0,1,3,3,N,N,40 01:34.177,75 11:38.832,1510, ,1505,1,2,5,N, ,0,Y, , , , , , , , ,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.0262,-75.1941, , 
42048,480331,2014085879,6,67,67301,2014,8,4,1408,14,1,1,0,1,1, , ,N,0,0,0,3,0,0,2,2,N,N,39 59:49.924,75 11:46.588,1414, ,1414, ,0, ,N, ,0, , , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9972,-75.1963, , 
42049,480349,2014106759,6,67,67301,2014,10,2,2225,22,3,8,0,4,1, , ,N,1,3,0,3,0,2,8,2,N, ,40 01:54.249,75 05:32.121,2226, ,2226, ,0, ,N, ,3, , , , , , , , , ,2,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,40.0317,-75.0923, , 
42050,480356,2014110361,6,67,67301,2014,10,1,140,1,3,1,0,4,1, , ,N,1,3,0,3,0,3,3,3,N, ,39 57:22.503,75 12:48.657,142, ,140, ,0, , , ,3, , , , , , , , , ,3,2,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9563,-75.2135, , 
42051,480361,2014096432,6,67,67301,2014,7,7,1415,14,1,1,0,8,1, , ,N,2,0,0,3,0,1,2,2,N,N,40 00:37.339,75 08:50.405,1426, ,1425, ,0, ,N, ,0, , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,40.0104,-75.1473, , 
42052,480363,2014098683,6,67,67301,2014,9,2,2159,21,3,1,0,4,1, , ,N,1,2,0,3,0,0,2,3,N,N,39 55:03.079,75 09:22.114,2159, ,2159, ,0, ,N, ,3, , , , , , , , , ,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9175,-75.1561, , 
42053,480364,2014098689,6,67,67301,2014,9,7,2340,23,2,1,0,8,1, , ,N,0,0,0,3,1,0,2,2,N,N,40 01:19.450,75 08:01.150,2341, ,2341,9,2,5,N,0,0,Y, , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,40.0221,-75.1337,2, 
42054,480376,2014121430,6,67,67301,2014,11,6,1151,11,1,1,0,4,1, , ,N,1,2,0,3,0,2,4,2,N, ,39 59:16.184,75 10:50.095,1152, ,1152, ,0, , , ,3, , , , , , , , , ,2,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9878,-75.1806, , 
42055,480384,2014127431,6,67,67301,2014,11,4,1358,13,1,4,3,4,1, , ,N,1,2,0,3,0,1,2,2,N, ,39 57:44.029,75 14:33.957,1400, ,1400,1,2,4, , ,3,N, , , , , , , , ,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9621,-75.2428, , 
42056,480389,2014130513,6,67,67301,2014,12,6,830,8,3,2,1,1,1, , ,N,2,2,7,3,0,1,3,2,N, ,39 56:55.270,75 11:34.392,845, ,840, ,0, , , ,3, , , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9487,-75.1929, , 
42057,480394,2015002779,6,67,67301,2014,12,7,1330,13,1,1,0,1,1, , ,N,0,0,3,3,0,0,2,2,N,N,39 55:13.020,75 11:58.647,1345, ,1341,1,2,7,N, ,0,N, , , , , , , , ,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9203,-75.1996, , 
42058,480404,2014120276,6,67,67301,2014,10,5,800,8,1,1,0,4,1, , ,N,2,2,7,3,0,1,2,2,N, ,39 56:45.926,75 11:54.625,801, ,801, ,0, , , ,3, , , , , , , , , ,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9461,-75.1985, , 
42059,480406,2014121499,6,67,67301,2014,11,1,2000,20,3,1,0,4,1, , ,N,1,2,0,3,0,3,4,2,N,N,40 01:21.348,75 03:09.739,2010, ,2005,9,1,4,Y, ,3,N, , , , , , , , ,2,0,0,0,0,0,2,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.0226,-75.0527, , 
42060,480431,2014130494,6,67,67301,2014,12,4,1640,16,4,1,0,4,1, , ,N,1,2,0,3,0,0,2,2,N, ,40 00:15.118,75 05:57.764,1644, ,1643,1,1,2, , ,3,Y, , , , , , , , ,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0042,-75.0994, , 
42061,480438,2015015550,6,67,67301,2014,12,5,910,9,1,1,0,4,1, , ,N,1,2,0,3,0,1,2,2,N, ,40 03:05.090,75 09:48.178,910, ,910,9,1,6, , ,2,Y, , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40.0514,-75.1634, , 
42062,480446,2014113378,6,67,67301,2014,10,3,800,8,1,1,0,5,1, , ,N,0,0,0,3,0,1,2,2,N,N,39 57:48.310,75 10:47.894,810, ,805, ,0, ,N, ,0, , , , , , , , , ,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39.9634,-75.18, , 
42063,480450,2014115667,6,67,67301,2014,11,7,324,3,3,1,1,5,6, , ,N,0,0,0,3,0,0,2,4,N,N,39 58:38.740,75 15:09.093,335, ,325,3,2,5,N, ,0,Y, , , , , , , , ,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9774,-75.2525, , 
42064,480456,2014125006,6,67,67301,2014,11,2,826,8,1,1,1,4,1, , ,N,1,2,0,3,0,3,4,2,N,N,39 55:32.198,75 14:03.722,826, ,826,1,2,3, , ,3,N, , , , , , , , ,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9256,-75.2343, , 
42065,480470,2014113261,6,67,67301,2014,10,5,800,8,1,1,0,4,1, , ,N,2,3,0,3,0,1,2,2,N,N,39 55:38.416,75 09:14.331,823, ,825, ,0, ,N, ,3, , , , , , , , , ,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9273,-75.154, , 
42066,482909,2015002709,6,67,67301,2014,12,3,1725,17,3,2,1,8,1, , ,N,1,3,0,3,0,1,2,2,N,N,40 02:24.504,75 10:24.261,1745, ,1739, ,0, ,N, ,3, , , , , , , , , ,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,40.0401,-75.1734, , 
42067,482910,2015002762,6,67,67301,2014,12,3,2300,23,3,1,1,4,1, , ,N,1,2,0,3,0,1,2,2,N,N,39 57:09.624,75 09:54.855,2313, ,2310,2,1,2,N, ,3,N, , , , , , , , ,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9526,-75.1653, , 
