ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
13431,9718766,I-94,M-10,2016-06-01,1,6,2016,18,4,5,1,,1,0,,1,1,1,55,3,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.07793,42.35787,"{
  ""coordinates"": [
    -8.307792283500000e+01,
    4.235786784400010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.077922835,
    42.357867844
  ],
  ""type"": ""Point""
}",-83.077922835,42.3578678440001
13432,9806650,GLENDALE,STOUT,2016-06-01,1,6,2016,16,4,4,9,,,0,,1,1,1,25,2,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,true,false,,,false,false,false,false,false,-83.24085,42.38152,"{
  ""coordinates"": [
    -8.324085175800001e+01,
    4.238151518600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.240851758,
    42.381515186
  ],
  ""type"": ""Point""
}",-83.240851758,42.3815151860001
13433,9712238,15743 GRAYFIELD,MIDLAND,2016-06-01,1,6,2016,9,4,5,9,,,0,,1,1,1,25,2,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.2692,42.4041,"{
  ""coordinates"": [
    -8.326919307400000e+01,
    4.240409810300010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.269193074,
    42.404098103
  ],
  ""type"": ""Point""
}",-83.269193074,42.4040981030001
13434,9711257,7 MILE,JAMES COUZENS,2016-06-01,1,6,2016,12,4,97,9,,2,0,,1,1,1,35,4,4,2,2,0,1,1,1,false,,true,true,false,false,false,,,,,,true,false,true,,,false,false,false,false,false,-83.18663,42.43084,"{
  ""coordinates"": [
    -8.318662750999989e+01,
    4.243084475500010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.18662751,
    42.430844755
  ],
  ""type"": ""Point""
}",-83.1866275099999,42.4308447550001
13435,9973400,M-39,OUTER,2016-06-01,1,6,2016,13,4,8,3,,1,0,,1,1,1,55,3,2,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-83.21885,42.42018,"{
  ""coordinates"": [
    -8.321885281399990e+01,
    4.242017707900000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.218852814,
    42.420177079
  ],
  ""type"": ""Point""
}",-83.2188528139999,42.420177079
13436,9711207,GREENFIELD,CASTLETON,2016-06-01,1,6,2016,11,4,3,9,,2,0,,1,2,1,35,4,2,2,3,0,0,1,1,false,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.19769,42.37622,"{
  ""coordinates"": [
    -8.319768663300000e+01,
    4.237621649000000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.197686633,
    42.37621649
  ],
  ""type"": ""Point""
}",-83.197686633,42.37621649
13437,9711222,MICHIGAN,PARKINSON,2016-06-01,1,6,2016,19,4,4,2,,1,0,,2,4,1,35,4,2,3,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.13189,42.33111,"{
  ""coordinates"": [
    -8.313188743599990e+01,
    4.233110925000010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.131887436,
    42.33110925
  ],
  ""type"": ""Point""
}",-83.1318874359999,42.3311092500001
13438,9712187,N I 75 SERVICE DRIVE,LIVERNOIS,2016-06-01,1,6,2016,7,4,8,9,,4,0,,1,1,1,0,4,2,1,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.10387,42.30712,"{
  ""coordinates"": [
    -8.310386327899990e+01,
    4.230711870800010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.103863279,
    42.307118708
  ],
  ""type"": ""Point""
}",-83.1038632789999,42.3071187080001
13439,9716883,EIGHT MILE,REDMOND,2016-06-01,1,6,2016,14,4,1,3,,1,0,,1,1,1,45,4,1,1,4,0,0,0,1,false,,false,false,false,false,false,,,,,,false,false,true,,,false,false,false,false,false,-82.9562,42.45005,"{
  ""coordinates"": [
    -8.295620108799990e+01,
    4.245004617600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.956201088,
    42.450046176
  ],
  ""type"": ""Point""
}",-82.9562010879999,42.4500461760001
13440,9713254,I-94,OUTER,2016-06-01,1,6,2016,8,4,5,1,,1,0,,1,1,1,70,3,2,1,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-82.95833,42.40566,"{
  ""coordinates"": [
    -8.295832857300000e+01,
    4.240565903900010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.958328573,
    42.405659039
  ],
  ""type"": ""Point""
}",-82.958328573,42.4056590390001
