intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents,has_had_fatal
21748,34.062204599999994,-118.3429347,34.062201609564006,-118.34277222255838,272.01909198064175,65.0,primary,1,False,False,False,True,False,5,,,7,19,False
21748,34.062204599999994,-118.3429347,34.06225065333545,-118.3430875066128,110.65892174029705,65.0,primary,1,False,False,False,True,False,5,,,"('3', '4')",19,False
21748,34.062204599999994,-118.3429347,34.06206942875437,-118.34294048001568,2.790452529889137,25.0,residential,0,False,False,False,True,False,5,,,2,19,False
21749,34.0604816,-118.34246890000001,34.060609877364946,-118.34241736974079,199.23849978715694,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21749,34.0604816,-118.34246890000001,34.060484384172305,-118.34263137946337,91.93149348302552,25.0,tertiary,0,False,False,False,False,False,4,,,2,3,False
21749,34.0604816,-118.34246890000001,34.060478182085404,-118.34230643799769,272.1999309326905,25.0,tertiary,0,False,False,False,False,False,4,,,2,3,False
21749,34.0604816,-118.34246890000001,34.06035314102349,-118.34251977285922,18.994345109381356,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21750,34.06049939999998,-118.3435374,34.06050604323195,-118.34369971774686,93.56786807044767,25.0,tertiary,0,False,False,False,False,False,4,,,2,3,False
21750,34.06049939999998,-118.3435374,34.06062856878957,-118.3434891916718,198.00852495727204,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21750,34.06049939999998,-118.3435374,34.06049656436027,-118.34337492183454,271.9538083843084,25.0,tertiary,0,False,False,False,False,False,4,,,2,3,False
21750,34.06049939999998,-118.3435374,34.060371026964205,-118.34358858493478,19.110832269505977,25.0,residential,0,False,False,False,False,False,4,,,2,3,False
21751,34.0604549,-118.3412834,34.06058372216005,-118.34123387044994,198.4956747346478,25.0,residential,0,False,False,False,False,True,4,,,2,0,False
21751,34.0604549,-118.3412834,34.0604586979314,-118.34144584982121,92.36039201936126,25.0,tertiary,0,False,False,False,False,True,4,,,2,0,False
21751,34.0604549,-118.3412834,34.06045183886623,-118.34112092772378,272.0480874440759,25.0,tertiary,0,False,False,False,False,True,4,,,2,0,False
21751,34.0604549,-118.3412834,34.060325585694386,-118.34133104207203,17.79838018095296,25.0,residential,0,False,False,False,False,True,4,,,2,0,False
21752,34.0588372,-118.3431207,34.05896565581148,-118.34306981648636,198.99894713631832,25.0,residential,0,False,False,False,False,False,3,,,2,2,False
21752,34.0588372,-118.3431207,34.05884023782995,-118.34328316973388,92.03930274102169,25.0,residential,0,False,False,False,False,False,3,,,2,2,False
21752,34.0588372,-118.3431207,34.058832404247184,-118.34295829145678,272.78419793419397,25.0,residential,0,False,False,False,False,False,3,,,2,2,False
21753,34.0588572,-118.3441909,34.058860139156465,-118.34435337234298,91.99809410338798,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21753,34.0588572,-118.3441909,34.05872858661031,-118.34424120538405,18.785114071478063,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21753,34.0588572,-118.3441909,34.05898562666099,-118.3441399105198,199.03889103029323,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21753,34.0588572,-118.3441909,34.05885418105908,-118.34402842976709,272.0318084287402,25.0,residential,0,False,False,False,False,True,4,,,2,2,False
21754,34.058801700000004,-118.3419191,34.058672561041966,-118.34196742291783,18.050293533564684,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21754,34.058801700000004,-118.3419191,34.058930514326846,-118.34186954197874,198.50689794065764,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21754,34.058801700000004,-118.3419191,34.05880652202084,-118.34208150740949,92.79474887820686,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21754,34.058801700000004,-118.3419191,34.05879857985208,-118.3417566325293,272.07341677009606,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21755,34.0177387,-118.35689169999999,34.01787394791035,-118.3568897931232,181.43185428639634,25.0,residential,0,False,False,False,False,False,3,,,,0,False
21755,34.0177387,-118.35689169999999,34.01772598727908,-118.35672998735407,276.1523115208363,25.0,residential,0,False,False,False,False,False,3,,,,0,False
21755,34.0177387,-118.35689169999999,34.017603446083974,-118.35689283770843,1.1605265181639766,25.0,residential,0,False,False,False,False,False,3,,,,0,False
21757,34.0153274,-118.35753160000002,34.01543813115937,-118.3574383240407,215.80754811933008,25.0,residential,0,False,False,False,False,False,3,,,,0,False
21757,34.0153274,-118.35753160000002,34.01523981311725,-118.3574078279598,311.11720205819734,25.0,residential,0,False,False,False,False,False,3,,,,0,False
21757,34.0153274,-118.35753160000002,34.01523003215316,-118.35764434176359,44.71567954026273,25.0,residential,0,False,False,False,False,False,3,,,,0,False
21760,34.027619399999985,-118.3551787,34.02749060686372,-118.35522831960445,18.543365304309305,25.0,residential,0,False,False,False,False,False,4,,,,2,False
21760,34.027619399999985,-118.3551787,34.027659766236454,-118.35533374747132,108.12246998555764,25.0,residential,0,False,False,False,False,False,4,,,,2,False
21760,34.027619399999985,-118.3551787,34.027747243256734,-118.35512565509508,199.81667784100384,25.0,residential,0,False,False,False,False,False,4,,,,2,False
21760,34.027619399999985,-118.3551787,34.027576471175635,-118.35502464874362,289.2633699226471,25.0,residential,0,False,False,False,False,False,4,,,,2,False
21761,34.0273487,-118.3542073,34.027477172445415,-118.35415649522828,198.98234553796988,25.0,residential,0,False,False,False,False,False,4,,,,1,False
21761,34.0273487,-118.3542073,34.027306184527696,-118.35405308391378,289.0782683742708,25.0,residential,0,False,False,False,False,False,4,,,,1,False
21761,34.0273487,-118.3542073,34.02739162987019,-118.3543613504647,109.26336992264709,25.0,residential,0,False,False,False,False,False,4,,,,1,False
21761,34.0273487,-118.3542073,34.02722018520841,-118.35425794996777,18.92492718430549,25.0,residential,0,False,False,False,False,False,4,,,,1,False
21762,34.06115440000001,-118.37232670000002,34.0611357617089,-118.37216573659336,278.6892512736646,25.0,residential,0,False,False,False,False,False,3,,,,1,False
21762,34.06115440000001,-118.37232670000002,34.0611926833199,-118.3724825681399,107.21072239911047,25.0,residential,0,False,False,False,False,False,3,,,,1,False
21762,34.06115440000001,-118.37232670000002,34.06114822715177,-118.37248904445453,88.15296301586142,25.0,residential,0,False,False,False,False,False,3,,,,1,False
21763,34.06075840001778,-118.36898334996788,34.06084283877211,-118.36911030425874,129.39689943242047,25.0,residential,0,False,False,False,False,True,4,,,,3,False
21763,34.06075840001778,-118.36898334996788,34.06084283877211,-118.36911030425874,129.39689943242047,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
21763,34.06075840001778,-118.36898334996788,34.060673961125,-118.36885639592722,309.39689943214205,25.0,residential,0,False,False,False,False,True,4,,,,3,False
21763,34.06075840001778,-118.36898334996788,34.060673961125,-118.36885639592722,309.39689943214205,25.0,residential,0,False,False,False,False,True,4,,,2,3,False
