intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
4224,42.358386,-82.9999073,42.35850525189261,-82.99999275128732,153.35950938993665,65,secondary,1,False,False,False,True,False,4,,,2,17
4225,42.35713799999999,-82.99732900000001,42.35701898089251,-82.99724296217593,333.1478292023353,25,residential,0,False,False,False,False,True,4,,,2,1
4225,42.35713799999999,-82.99732900000001,42.3572014852688,-82.99716829161832,243.3052264756494,25,residential,0,False,False,False,False,True,4,,,2,1
4225,42.35713799999999,-82.99732900000001,42.357074208584386,-82.99748948767457,63.15806803687104,25,residential,0,False,False,False,False,True,4,,,2,1
4225,42.35713799999999,-82.99732900000001,42.35725712008588,-82.99741478355004,153.2386957810578,25,residential,0,False,False,False,False,True,4,,,2,1
4226,42.3578489,-83.0012233,42.35772615628584,-83.00114736853071,336.7024286805457,25,residential,0,False,False,False,False,False,3,,,2,2
4226,42.3578489,-83.0012233,42.35791135431917,-83.00106185739685,243.80226847023357,25,tertiary,0,False,False,False,False,False,3,,,"('2', '3')",2
4226,42.3578489,-83.0012233,42.357786767161045,-83.00138496778129,63.956099538129024,25,tertiary,0,False,False,False,False,False,3,,,2,2
4227,42.358763599999996,-82.9989159,42.35870208754634,-82.99907800099568,64.25063930079,25,tertiary,0,False,False,False,False,False,3,,,"('2', '3')",1
4227,42.358763599999996,-82.9989159,42.35882841926536,-82.99875615859995,242.6631338165531,25,tertiary,0,False,False,False,False,False,3,,,2,1
4227,42.358763599999996,-82.9989159,42.35888269764047,-82.99900174211542,153.21968663120435,25,residential,0,False,False,False,False,False,3,,,2,1
4228,42.359093,-83.000426,42.35897393137334,-83.0003400846507,333.19460707092094,65,secondary,1,False,False,False,False,False,3,,,2,0
4228,42.359093,-83.000426,42.359156459332965,-83.00026526824023,243.31979005372398,25,residential,0,False,False,False,False,False,3,,,2,0
4228,42.359093,-83.000426,42.3592120272453,-83.00051201967553,153.15748630538633,65,secondary,1,False,False,False,False,False,3,,,2,0
4229,42.35947699999999,-82.999454,42.359358656782504,-82.99936628080577,332.5484375172283,25,residential,0,False,False,False,False,False,4,,,2,0
4229,42.35947699999999,-82.999454,42.359413431642054,-82.99961465428828,63.26684358155501,25,residential,0,False,False,False,False,False,4,,,2,0
4229,42.35947699999999,-82.999454,42.35959655030557,-82.99953869132283,153.63022467048415,25,residential,0,False,False,False,False,False,4,,,2,0
4229,42.35947699999999,-82.999454,42.35954061707218,-82.9992933805996,243.24331032439648,25,residential,0,False,False,False,False,False,4,,,2,0
4230,42.360459999999996,-83.001414,42.36034099156854,-83.00132793148596,333.1412887407699,65,secondary,1,False,False,False,True,False,4,,,2,19
4230,42.360459999999996,-83.001414,42.36052377409548,-83.00125349148628,243.1690808181465,25,tertiary,0,False,False,False,True,False,4,,,4,19
4230,42.360459999999996,-83.001414,42.36057921947842,-83.0014995359904,153.3313794165132,65,secondary,1,False,False,False,True,False,4,,,2,19
4230,42.360459999999996,-83.001414,42.360396654192,-83.00157481638935,63.3751307184848,25,tertiary,0,False,False,False,True,False,4,,,4,19
4231,42.360851999999994,-83.000428,42.360732350172775,-83.0003435630742,333.72183166284447,25,residential,0,False,False,False,False,False,4,,,2,3
4231,42.360851999999994,-83.000428,42.360787997874944,-83.00058834430146,63.058728357783366,25,tertiary,0,False,False,False,False,False,4,,,4,3
4231,42.360851999999994,-83.000428,42.36091539600949,-83.00026721834317,243.35025934516005,25,tertiary,0,False,False,False,False,False,4,,,3,3
4231,42.360851999999994,-83.000428,42.36097083465415,-83.00051450474272,152.98508270003902,25,residential,0,False,False,False,False,False,4,,,2,3
4232,42.36281399999999,-83.003105,42.362694832013396,-83.00301933093519,333.28614498285873,65,secondary,1,False,False,False,True,False,4,,,2,8
4232,42.36281399999999,-83.003105,42.36275013785925,-83.00326545054126,63.12797157891487,25,tertiary,0,False,False,False,True,False,4,,,3,8
4232,42.36281399999999,-83.003105,42.3629332165446,-83.00319054628392,153.33003316826807,65,secondary,1,False,False,False,True,False,4,,,2,8
4232,42.36281399999999,-83.003105,42.36287769610076,-83.00294442932625,243.20778623285702,25,tertiary,0,False,False,False,True,False,4,,,3,8
4233,42.362451,-83.004017,42.36251492487513,-83.00385659569835,243.09825292946925,25,tertiary,0,False,False,False,False,False,4,,,3,0
4233,42.362451,-83.004017,42.36256964553691,-83.00410397709855,152.8192587092649,25,residential,0,False,False,False,False,False,4,,,2,0
4233,42.362451,-83.004017,42.36233192643971,-83.00393109313387,333.2017391716032,25,residential,0,False,False,False,False,False,4,,,2,0
4233,42.362451,-83.004017,42.362389619040066,-83.00417920070325,64.31675559616212,25,tertiary,0,False,False,False,False,False,4,,,3,0
4234,42.363601999999986,-83.003671,42.363482808456155,-83.00358538958443,333.30783314825806,65,secondary,1,False,False,False,False,False,3,,,2,3
4234,42.363601999999986,-83.003671,42.363665887024894,-83.00351056533725,243.11627593639014,25,residential,0,False,False,False,False,False,3,,,2,3
4234,42.363601999999986,-83.003671,42.3637210859433,-83.00375687735335,153.2127479893819,65,secondary,1,False,False,False,False,False,3,,,2,3
4235,42.363991999999996,-83.002692,42.363928065686174,-83.00285240129068,63.09296412558592,25,residential,0,False,False,False,False,False,4,,,2,0
4235,42.363991999999996,-83.002692,42.364055207903014,-83.00253107591132,243.4421761794594,25,residential,0,False,False,False,False,False,4,,,2,0
4235,42.363991999999996,-83.002692,42.364110675233285,-83.00277890562433,152.84477426122191,25,residential,0,False,False,False,False,False,4,,,2,0
