intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
9563,39.940613000000006,-75.149846,39.94058829395544,-75.14967338407921,280.6294536525572,25,residential,0,False,False,False,False,False,3,,,,0
9563,39.940613000000006,-75.149846,39.940479541800066,-75.14987367882888,9.166570759675778,25,residential,0,False,False,False,False,False,3,,,,0
9563,39.940613000000006,-75.149846,39.94063536592211,-75.15001915365092,99.62206542467993,25,residential,0,False,False,False,False,False,3,,,,0
9564,39.94010409999999,-75.144262,39.939971256574566,-75.1442942865833,10.68919348062201,25,tertiary,0,False,False,False,False,False,3,,,,0
9564,39.94010409999999,-75.144262,39.94023761039536,-75.14423474922383,189.02158639112167,25,tertiary,0,False,False,False,False,False,3,,,,0
9564,39.94010409999999,-75.144262,39.9401121602744,-75.14443726079745,93.51183530932758,25,tertiary,0,False,False,False,False,False,3,,,,0
9565,39.940987799999995,-75.1440665,39.94085504558569,-75.14409939896295,10.892305639758149,25,tertiary,0,False,False,False,False,False,3,,,,0
9565,39.940987799999995,-75.1440665,39.941121441113246,-75.14404035279732,188.656978943134,65,secondary,1,False,False,False,False,False,3,,,,0
9565,39.940987799999995,-75.1440665,39.94101138536709,-75.14423938131958,100.14297450977574,65,secondary,1,False,False,False,False,False,3,,,,0
9566,39.940223,-75.145226,39.940356145864634,-75.14519588924043,189.96821950247315,25,residential,0,False,False,False,False,False,3,,,,0
9566,39.940223,-75.145226,39.940200220065464,-75.14505293847984,279.7970059653847,25,tertiary,0,False,False,False,False,False,3,,,,0
9566,39.940223,-75.145226,39.94024449011997,-75.14539933977436,99.24281579124755,25,tertiary,0,False,False,False,False,False,3,,,,0
9568,39.9403016,-75.14586,39.94043484116897,-75.14583060934571,189.73017245168919,25,residential,0,False,False,False,False,False,4,,,,0
9568,39.9403016,-75.14586,39.940168359608826,-75.14588939657054,9.732168255744284,25,residential,0,False,False,False,False,False,4,,,,0
9568,39.9403016,-75.14586,39.94028011056947,-75.14568665993949,279.24281579124755,25,tertiary,0,False,False,False,False,False,4,,,,0
9568,39.9403016,-75.14586,39.940322289659846,-75.14603350425776,98.89966046942004,25,tertiary,0,False,False,False,False,False,4,,,,0
9569,39.93980709999999,-75.1459691,39.93978674563058,-75.14579553012427,278.755803923336,25,residential,0,False,False,False,False,False,3,,,,0
9569,39.93980709999999,-75.1459691,39.93994034041914,-75.14593970373656,189.7321682557443,25,residential,0,False,False,False,False,False,3,,,,0
9569,39.93980709999999,-75.1459691,39.93967385866586,-75.14599848922894,9.729877264759637,25,residential,0,False,False,False,False,False,3,,,,0
9570,39.940431999999994,-75.146931,39.94045350917923,-75.14710433630385,99.25209590322868,25,tertiary,0,False,False,False,False,False,4,,,,0
9570,39.940431999999994,-75.146931,39.94056548293231,-75.14690352311291,189.0979584832559,25,residential,0,False,False,False,False,False,4,,,,0
9570,39.940431999999994,-75.146931,39.94029887199092,-75.14696124368463,10.013356331761827,25,residential,0,False,False,False,False,False,4,,,,0
9570,39.940431999999994,-75.146931,39.940410380417944,-75.14675768693206,279.29939699398483,25,tertiary,0,False,False,False,False,False,4,,,,0
9571,39.94132479999999,-75.146743,39.941191468835456,-75.14677169376714,9.500042204783313,25,residential,0,False,False,False,False,False,3,,,,0
9571,39.94132479999999,-75.146743,39.941303198856446,-75.14656968079919,279.2913605758542,65,secondary,1,False,False,False,False,False,3,,,,0
9571,39.94132479999999,-75.146743,39.9413460056824,-75.14691640165815,99.12167412319582,65,secondary,1,False,False,False,False,False,3,,,,0
9572,39.94142990000001,-75.147604,39.941454994251906,-75.1477765235058,100.79557405415488,65,secondary,1,False,False,False,True,False,4,,,,0
9572,39.94142990000001,-75.147604,39.94129619645328,-75.14762960278131,8.479607280550852,25,residential,0,False,False,False,True,False,4,,,,0
9572,39.94142990000001,-75.147604,39.941562613226395,-75.14757082165586,190.9872945890973,25,tertiary,0,False,False,False,True,False,4,,,,0
9572,39.94142990000001,-75.147604,39.941409172118874,-75.14743050065253,278.91707045072803,65,secondary,1,False,False,False,True,False,4,,,,0
9573,39.941801900128766,-75.15059559994684,39.941780517828796,-75.1504222337659,279.1998624864508,25,residential,0,False,False,False,True,False,3,,,2,0
9573,39.941801900128766,-75.15059559994684,39.941823282169224,-75.15076896623493,99.19986248310403,65,primary,1,False,False,False,True,False,3,,,,0
9573,39.941801900128766,-75.15059559994684,39.941780517828796,-75.1504222337659,279.1998624864508,65,secondary,1,False,False,False,True,False,3,,,,0
9574,39.94139390000001,-75.1508615,39.941260344522505,-75.15088837538647,8.901710500404704,65,primary,1,False,False,False,False,False,3,,,,0
9574,39.94139390000001,-75.1508615,39.94152719867384,-75.15083255264379,189.58653266790824,65,primary,1,False,False,False,False,False,3,,,,0
9574,39.94139390000001,-75.1508615,39.9414142910087,-75.15103506665305,98.77477575181535,25,residential,0,False,False,False,False,False,3,,,,0
9575,39.941150199999996,-75.1525366,39.941016804164484,-75.1525647816853,9.33444265287585,25,tertiary,0,False,False,False,False,False,4,,,,0
9575,39.941150199999996,-75.1525366,39.94112737094907,-75.1523635471033,279.8228304054374,25,tertiary,0,False,False,False,False,False,4,,,,0
9575,39.941150199999996,-75.1525366,39.941172508326055,-75.1527097675309,99.59903724775285,25,tertiary,0,False,False,False,False,False,4,,,,0
9575,39.941150199999996,-75.1525366,39.94128317480397,-75.1525052393208,190.3870663052178,65,primary,1,False,False,False,False,False,4,,,,0
9576,39.9400352,-75.1527721,39.9401685974673,-75.15274393158177,189.3303205835629,25,tertiary,0,False,False,False,False,False,4,,,,0
9576,39.9400352,-75.1527721,39.94006474722649,-75.15294342570874,102.72661772894418,25,residential,0,False,False,False,False,False,4,,,,0
9576,39.9400352,-75.1527721,39.93990227901346,-75.15280384302407,10.51426208356088,25,tertiary,0,False,False,False,False,False,4,,,,0
9576,39.9400352,-75.1527721,39.94000949393157,-75.15259973217482,281.06286179480577,25,residential,0,False,False,False,False,False,4,,,,0
9577,39.94121,-75.1530008,39.941187692109104,-75.15282763228144,279.59903724775285,25,tertiary,0,False,False,False,False,False,3,,,,0
9577,39.94121,-75.1530008,39.941078925223145,-75.15304358130354,14.20105652024165,25,residential,0,False,False,False,False,False,3,,,,0
9577,39.94121,-75.1530008,39.94123142839553,-75.15317415512311,99.22130847864452,25,tertiary,0,False,False,False,False,False,3,,,,0
9578,39.9405007,-75.1531849,39.940632784203814,-75.15314772625942,192.32187209261707,25,residential,0,False,False,False,False,False,3,,,,0
9578,39.9405007,-75.1531849,39.940529420811416,-75.15335646388023,102.36809143824513,25,residential,0,False,False,False,False,False,3,,,,0
