int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,num_lanes,number_of_accidents,AADT
40.7340784,-73.9996733,40.73410407978372,-73.99949890930455,258.3911744043805,65.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,16.0,6643.0
40.7347874,-73.9987127,40.73466861403166,-73.99879735584452,27.809227069825734,65.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,57.0,3620.0
40.70418885006621,-74.00884805014596,40.70427752039583,-74.00871407994575,228.33983893094373,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,32.0,1520.0
40.7051798,-74.0074068,40.70508798524518,-74.00753706334616,46.54720910644971,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,45.0,2218.0
40.7038253,-74.0083431,40.70392723237222,-74.00845964726669,138.32541958891136,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,12.0,1520.0
40.703172106415366,-74.00785538585767,40.70321179202779,-74.00802510152411,106.43313154710228,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,17.0,1520.0
40.70376259999999,-74.0070517,40.70367369661051,-74.00718540215082,48.20764679448041,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,11.0,1520.0
40.70455959999999,-74.0094849,40.70446064840769,-74.00936399738073,316.43602300061514,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1520.0
40.7029659,-74.0115133,40.7030091881558,-74.01134511211744,250.6699340763317,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,58.0,626.0
40.702288300000006,-74.0094947,40.70237283342325,-74.00935619320337,230.62609923908207,65.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1520.0
40.7692956,-73.9810586,40.769411626459565,-73.9809675253684,210.1621699082707,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,41.0,1570.0
40.7699178,-73.9805837,40.76979757714403,-73.98066481412867,26.48984632977817,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,37.0,1570.0
40.76974455005287,-73.98212474991927,40.769811186775925,-73.98227935584785,118.88505517297232,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,51.0,1570.0
40.76892345004472,-73.98209799995793,40.76896776557525,-73.98226588979394,108.48150302485897,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,124.0,1570.0
40.7704797,-73.9838597,40.77041352080393,-73.98370475283942,298.66329621882016,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,28.0,1570.0
40.76985460000001,-73.9843169,40.76977685271424,-73.98417154643693,304.46486622074303,65.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,86.0,1570.0
40.7716605,-73.986677,40.7717776796684,-73.98658851320563,209.1978658843828,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,32.0,1084.0
40.77228050000001,-73.9862242,40.77216239482824,-73.98631053224516,28.399641582545144,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,27.0,1084.0
40.77286329999999,-73.9895402,40.77280191614052,-73.98938186869223,296.3600557292849,65.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,45.0,1084.0
40.7733062,-73.99056140000002,40.77323909268124,-73.9904071382734,299.12004283594223,25.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,70105.33333333333
40.7722404,-73.9899959,40.77235739277426,-73.98990698540506,209.3588704868495,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,26.0,1084.0
40.787235,-73.9679404,40.78729718485912,-73.96809822285283,116.72797118626914,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,31.0,28.0
40.78843249999999,-73.9707862,40.78836767587817,-73.97063022353149,297.99770075604704,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,33.0,11814.666666666666
40.7878716,-73.9674683,40.787753059537216,-73.96755361171489,28.00425182911465,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,31.0,28.0
40.78660500000001,-73.9683927,40.78672238293412,-73.9683046627076,209.0115517988849,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,27.0,28.0
40.78961309999998,-73.9736025,40.78954782920898,-73.97344684347105,298.2156155027151,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,27.0,11814.666666666666
40.7877988,-73.9712361,40.78791808395315,-73.97115260114617,207.3427152472087,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,37.0,11814.666666666666
40.7902214000322,-73.97504259995146,40.79015544110349,-73.97488744492814,298.55035077287755,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,30.0,11814.666666666666
40.79024239999999,-73.9731431,40.790124262588826,-73.97322937741608,28.3621383398052,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,33.0,11814.666666666666
40.79082179999999,-73.9764487,40.79075628833766,-73.97629321582846,298.3341702713021,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,13.0,11814.666666666666
40.78959955003143,-73.97550154995227,40.78966591556551,-73.97565640325992,118.7485037207673,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,39.0,11814.666666666666
40.7917878,-73.978619,40.791659535332464,-73.9785631064056,341.00833016441385,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,11757.0
40.7901949,-73.9769096,40.79031283303164,-73.976822839557,208.54268943736344,25.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,17.0,11814.666666666666
40.79144289999999,-73.9759966,40.79132568334495,-73.9760850264955,29.158639257435027,25.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,14.0,11757.0
40.7912444,-73.9794014,40.79135486691967,-73.9792990290943,214.490884494526,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,18.0,11814.666666666666
40.792175,-73.9776753,40.7920989635477,-73.97782225968555,55.08598029848997,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,11.0,11757.0
40.7115841,-74.0157844,40.711459356810046,-74.01585263861371,21.957953287951284,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,26.0,4442.4
40.71009029999999,-74.0163736,40.710219840085536,-74.01632310407798,195.8801697326092,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,30.0,1361.0
40.7118516,-74.0156855,40.71171993609974,-74.01572539813709,12.342623039138402,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4442.4
40.711060450073255,-74.01452779988979,40.71112644226324,-74.01468274876362,118.59278626002764,65.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,154.0,4442.4
40.71374315005712,-74.01382539991624,40.71367847820139,-74.01366948652303,297.95259392729804,65.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,115.0,7366.8
40.7096669,-74.0116583,40.70978678964504,-74.01157640562656,206.82058422815365,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,38.0,2960.5
40.7103692,-74.01120790000002,40.710248606505154,-74.01128799046256,26.16599140783376,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,16.0,2636.0
40.7091731,-74.0105706,40.70923299228775,-74.01072976602737,115.66653313324848,65.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,24.0,2960.5
40.7086249,-74.0093797,40.70870348605187,-74.00952414046724,124.91757475941483,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,23.0,2960.5
40.708706050040384,-74.01095330016044,40.70882103452018,-74.01086004760286,211.0355792307924,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,26.0,2960.5
40.7090594,-74.0088957,40.70895630761606,-74.009010480723,39.626316323043966,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,2960.5
40.7077288,-74.0082757,40.70782207934298,-74.00840415915333,133.0110758249515,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,20.0,2218.0
40.7072416,-74.007454,40.70730163800143,-74.00761306650558,115.73348187852253,25.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,29.0,2218.0
40.7079949,-74.0080097,40.70788519480472,-74.00811335417414,35.06938663333142,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,2218.0
40.8016439,-73.9333873,40.80172122908458,-73.93353310630862,124.21529512742109,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,37455.0
40.80202690710188,-73.93398243055044,40.80210774607926,-73.93383995835843,232.5551842686449,65.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,68.0,37455.0
40.80215450000001,-73.9328935,40.802203799857,-73.93305904891244,110.7025332910864,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,37455.0
40.800803,-73.9290592,40.80085278936335,-73.92922449153207,110.92317533724162,65.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,40509.0
40.74809460164853,-74.00763608174366,40.748168408919376,-74.00748726417169,236.2424640989664,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,38.0,40752.666666666664
40.7488909,-74.0070027,40.74875646754448,-74.00702057186894,5.125031536825816,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,83.0,40752.666666666664
40.70625660000001,-74.0027542,40.7063226476826,-74.00259930348122,240.08697396058608,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,33647.333333333336
40.7082374,-74.0001093,40.708112506899305,-74.0000415410501,336.9141754518972,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2039.0
40.7093658,-73.9935802,40.70935536830574,-73.99375723233473,84.9157337995432,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2112.25
40.709547750013655,-74.00160255004596,40.70943902806953,-74.0017079800975,35.773223515564155,65.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,94.0,6925.0
40.708846,-74.002503,40.70894397022634,-74.00238071759762,222.87480728857503,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,25.0,5080.5
40.7105184,-74.0029673,40.71042110152844,-74.00284409196739,315.4120977361126,65.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2852.4
40.70878639999999,-74.00083640000001,40.70888408550301,-74.00095907495196,135.64784634086772,65.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,20.0,888.0
40.7880027,-73.9827592,40.78786852598768,-73.98278015846886,6.106121224804326,65.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,10667.0
40.79568499999999,-73.9767319,40.795584160259246,-73.97685023578735,41.058847678045936,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,11757.0
40.80070750000001,-73.9311515,40.80082616340028,-73.93123652875761,150.7325407417788,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5398.4
40.73814659999999,-73.9736517,40.73826488164949,-73.97356582978281,208.23776907409763,65.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,93932.66666666667
40.7390235,-73.9730741,40.73889944578108,-73.97314449809173,22.67659805387888,65.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,93932.66666666667
40.78435509999999,-73.9832997,40.7844613031129,-73.9831898056895,217.5214320449141,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,8.0,4727.0
40.7456883,-73.9721236,40.74580542680073,-73.97203502640926,209.2338930674584,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,73.0,4810.0
40.7462999,-73.9716752,40.74618333422909,-73.97176504462307,29.70741427772504,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,60.0,4810.0
40.746325600000006,-73.9736516,40.74626061831947,-73.97349583498662,298.0760781352532,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,4810.0
40.74605760006066,-73.97482054995966,40.74608957855055,-73.97499316190374,103.02109899105676,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,330.0,4810.0
40.74578269999999,-73.974319,40.745843757218985,-73.97447748514158,116.1951526200325,65.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,8.0,4810.0
40.7454554,-73.9753989,40.74557324004965,-73.97531197742592,208.6237526056035,65.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,159.0,93932.66666666667
40.71639819999999,-73.9757407,40.71627261268659,-73.97580621104393,20.980218251196675,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,31.0,82999.33333333333
40.7155522,-73.976182,40.71567778755915,-73.97611649039233,200.98021825119667,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,837.0
